barriers_anthropogenic_id,stream_crossing_id,dam_id,modelled_crossing_id,crossing_source,crossing_type,crossing_name,barrier_status,linear_feature_id,blue_line_key,downstream_route_measure,wscode_ltree,localcode_ltree,watershed_group_code,dnstr_barriers_anthropogenic,observedspp_dnstr,observedspp_upstr,stream_order,stream_magnitude,gradient,watershed_upstr_ha,total_network_km,total_stream_km,total_lakereservoir_ha,total_wetland_ha,total_slopeclass03_waterbodies_km,total_slopeclass03_km,total_slopeclass05_km,total_slopeclass08_km,total_slopeclass15_km,total_slopeclass22_km,total_slopeclass30_km,total_belowupstrbarriers_network_km,total_belowupstrbarriers_stream_km,total_belowupstrbarriers_lakereservoir_ha,total_belowupstrbarriers_wetland_ha,total_belowupstrbarriers_slopeclass03_waterbodies_km,total_belowupstrbarriers_slopeclass03_km,total_belowupstrbarriers_slopeclass05_km,total_belowupstrbarriers_slopeclass08_km,total_belowupstrbarriers_slopeclass15_km,total_belowupstrbarriers_slopeclass22_km,total_belowupstrbarriers_slopeclass30_km,wct_network_km,wct_stream_km,wct_lakereservoir_ha,wct_wetland_ha,wct_slopeclass03_waterbodies_km,wct_slopeclass03_km,wct_slopeclass05_km,wct_slopeclass08_km,wct_slopeclass15_km,wct_slopeclass22_km,wct_slopeclass30_km,wct_belowupstrbarriers_network_km,wct_belowupstrbarriers_stream_km,wct_belowupstrbarriers_lakereservoir_ha,wct_belowupstrbarriers_wetland_ha,wct_belowupstrbarriers_slopeclass03_waterbodies_km,wct_belowupstrbarriers_slopeclass03_km,wct_belowupstrbarriers_slopeclass05_km,wct_belowupstrbarriers_slopeclass08_km,wct_belowupstrbarriers_slopeclass15_km,wct_belowupstrbarriers_slopeclass22_km,wct_belowupstrbarriers_slopeclass30_km,study_area,external_crossing_reference,utm_zone,stream_name,road_name,barrier_result_code,downstream_channel_width,habitat_value_code,consultant_name,image_view_url,reviewer,misc_point_id,my_text,my_priority,my_stream_name,my_road_name,modelled_crossing_id_corr,geometry,easting,northing
12947,NA,NA,4606537,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706831632,356498845,239.94416058610184,300.625474.584724.427766.483735,300.625474.584724.427766.483735,ELKR,{8399},NA,NA,3,8,0.1291,694.0779,13.47,11.81,0,1.14,0.23,0.03,0.11,1.05,1.63,2.72,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0.57,0,0,0,0,0,0,0.18,0.39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,1,NA,NA,NA,NA,NA,"c(645211.996647777, 5519234.02772538)",645211.996647777,5519234.027725383
21478,NA,NA,24734906,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830486,356433162,1511.8275677183294,300.625474.584724.412090.240087.773806.166492,300.625474.584724.412090.240087.773806.166492,ELKR,"{21470,21471,12716,1548,3257}",{WCT},{WCT},1,1,0,NA,2.77,2.49,0,0.35,0.28,0.19,0,0.03,1.88,0.29,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77,2.49,0,0.35,0.28,0.19,0,0.03,1.88,0.29,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,2,NA,NA,NA,NA,NA,"c(666649.731755978, 5519579.08235171)",666649.7317559784,5519579.0823517125
7545,NA,NA,4600187,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706831905,356569657,2801.072224071806,300.625474.584724.427766.030001.284549,300.625474.584724.427766.030001.284549,ELKR,"{21458,21459,21460,8568,21462,8573,3094,13109}",NA,NA,3,5,0.0418,403.8629,10.94,10.94,NA,NA,0,0.34,0.1,0.53,1.47,1.08,0.63,0.02,0.02,0,0,0,0,0.01,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,3,NA,NA,NA,NA,NA,"c(651046.934278214, 5517519.7153682)",651046.9342782145,5517519.715368198
13110,NA,NA,4606752,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830424,356552065,803.1602090743218,300.625474.584724.467648,300.625474.584724.467648,ELKR,{9598},NA,NA,2,2,0.0319,65.14,5.2,4.92,0,4.46,0.28,0,0.93,0.53,1.8,1.09,0.41,1.81,1.53,0,0,0.28,0,0.93,0,0.61,0,0,2.28,2,0,4.46,0.28,0,0.93,0.02,1.05,0,0,1.81,1.53,0,0,NA,0,0.93,0,0.6,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,4,NA,NA,NA,NA,NA,"c(653484.137306247, 5521792.34638724)",653484.137306247,5521792.346387235
8493,NA,NA,4601273,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706831423,356528954,1818.6749663788073,300.625474.584724.412090.240087.667860,300.625474.584724.412090.240087.667860.257557,ELKR,"{8478,1560,1548,3257}",NA,NA,3,6,0.0817,596.0753,10.58,10.39,0,1.42,0.13,0.15,0.26,2.17,2.39,1.09,0.05,0.32,0.32,0,0,0,0.14,0,0,0.14,0,0.04,3.78,3.78,0,0,0,0.14,0,1.84,1.47,0.29,0.04,0.32,0.32,0,0,NA,0.14,0,0,0.14,0,0.04,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,5,NA,NA,NA,NA,NA,"c(665821.999220379, 5517161.00066181)",665821.9992203788,5517161.000661814
8478,NA,NA,4601258,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706831747,356528954,266.2687235299736,300.625474.584724.412090.240087.667860,300.625474.584724.412090.240087.667860,ELKR,"{1560,1548,3257}",NA,NA,3,7,0.1099,619.1752,12.74,12.55,0,1.42,0.13,0.15,0.26,2.17,4.49,1.11,0.05,1.59,1.59,0,0,0,0,0,0,1.55,0,0,5.33,5.33,0,0,0,0.14,0,1.84,3.02,0.29,0.04,1.55,1.55,0,0,NA,0,0,0,1.55,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,6,NA,NA,NA,NA,NA,"c(664668.931875459, 5516324.98759103)",664668.9318754588,5516324.987591031
8573,NA,NA,4601359,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706832411,356569657,731.8103361642249,300.625474.584724.427766.030001.284549,300.625474.584724.427766.030001.284549,ELKR,"{3094,13109}",NA,NA,3,5,0.0338,403.8629,13.01,12.98,NA,NA,0,1.6,0.92,0.53,1.47,1.08,0.63,0.57,0.56,0,0,0,0,0.57,0,0,0,0,2.04,2.04,NA,NA,0,1.25,0.79,0,0,0,0,0.56,0.56,0,0,NA,0,0.56,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,7,NA,NA,NA,NA,NA,"c(652127.173984985, 5515952.54610417)",652127.1739849845,5515952.546104174
12713,NA,NA,4606266,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706829952,356566667,30396.22560666216,300.625474.584724.412090.240087,300.625474.584724.412090.240087.829937,ELKR,"{1548,3257}","{BT,CRS,EB,RB,WCT}",{WCT},3,16,0.0553,1209.6047,25.79,25.64,0,0,0.14,0.49,0.28,4.29,7.17,2.75,0.68,19.79,19.78,0,0,0,0.46,0.28,4.29,2.67,2.68,0.68,8.08,8.08,0,0,0,0.4,0.27,4.24,1.87,1.04,0,8.08,8.08,0,0,NA,0.4,0.27,4.24,1.87,1.04,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,8,NA,NA,NA,NA,NA,"c(664703.007656796, 5521764.99239504)",664703.0076567961,5521764.99239504
3094,197528,NA,4600329,ASSESSED,ROUND,Lower Elk Valley Road,POTENTIAL,706832411,356569657,460.1980364793638,300.625474.584724.427766.030001.284549,300.625474.584724.427766.030001.284549,ELKR,{13109},NA,NA,3,5,0.0635,403.8629,13.28,13.26,NA,NA,0,1.6,0.92,0.8,1.47,1.08,0.63,0.27,0.28,0,0,0,0,0,0.27,0,0,0,2.32,2.32,NA,NA,0,1.25,0.79,0.27,0,0,0,0.28,0.28,0,0,NA,0,0,0.27,0,0,0,elk,4600329,11,Tributary to Whiting Creek,Lower Elk Valley Road,POTENTIAL,0.5,LOW,IRVINE,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198428,ali,9,NA,NA,NA,NA,NA,"c(652325, 5515789)",652325,5515789
12716,NA,NA,4606269,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830478,356450004,202.0884837056813,300.625474.584724.412090.240087.773806,300.625474.584724.412090.240087.773806,ELKR,"{1548,3257}",NA,{WCT},2,7,0.0765,1193.1312,16.26,15.68,0,0.35,0.59,0.22,0.19,3.61,9.22,1.4,0.1,0.37,0.38,0,0,0,0,0,0.02,0.05,0.31,0,6.85,6.58,0,0.35,0.28,0.2,0,1.21,4.47,0.6,0.1,0.37,0.38,0,0,NA,0,0,0.01,0.05,0.31,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,10,NA,NA,NA,NA,NA,"c(664922.075213478, 5519815.05021081)",664922.0752134777,5519815.050210808
